07/06/22	11:05 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	141.325500
Average Count rate  A (kHz):	168.7
Average Count rate  B (kHz):	168.7
Intercept:	1.0137
Cumulant 1st	4471.67
Cumulant 2nd	4285.54	0.15
Cumulant 3rd	5887.20	0.63

Lag time (s)         g2-1
Count Rate History (KHz)  CR CHA / CR CHB
0.000000	163.249969	0.000000
0.052429	195.426941	0.000000
0.104858	133.514404	0.000000
0.157286	182.685852	0.000000
0.209715	137.310028	0.000000
0.262144	136.966705	0.000000
0.314573	178.527832	0.000000
0.367002	190.601349	0.000000
0.419430	158.863068	0.000000
0.471859	180.778503	0.000000
0.524288	139.122009	0.000000
0.576717	132.637024	0.000000
0.629146	138.301849	0.000000
0.681574	139.770508	0.000000
0.734003	165.138245	0.000000
0.786432	216.827393	0.000000
0.838861	155.277252	0.000000
0.891290	180.320740	0.000000
0.943718	131.397247	0.000000
0.996147	128.803253	0.000000
1.048576	129.070282	0.000000
1.101005	157.299042	0.000000
1.153434	157.527924	0.000000
1.205862	171.947479	0.000000
1.258291	132.579803	0.000000
1.310720	136.375427	0.000000
1.363149	136.604309	0.000000
1.415578	150.451660	0.000000
1.468006	162.963867	0.000000
1.520435	135.383606	0.000000
1.572864	174.789429	0.000000
1.625293	163.516998	0.000000
1.677722	178.680420	0.000000
1.730150	135.383606	0.000000
1.782579	156.497955	0.000000
1.835008	163.612366	0.000000
1.887437	133.934021	0.000000
1.939866	171.165466	0.000000
1.992294	135.936737	0.000000
2.044723	171.031952	0.000000
2.097152	164.051056	0.000000
2.149581	158.271790	0.000000
2.202010	137.538910	0.000000
2.254438	150.566101	0.000000
2.306867	167.865753	0.000000
2.359296	138.664246	0.000000
2.411725	143.375397	0.000000
2.464154	137.863159	0.000000
2.516582	140.132904	0.000000
2.569011	173.091888	0.000000
2.621440	143.718719	0.000000
2.673869	134.696960	0.000000
2.726298	175.533295	0.000000
2.778726	188.045502	0.000000
2.831155	147.628784	0.000000
2.883584	161.342621	0.000000
2.936013	166.416168	0.000000
2.988442	153.903961	0.000000
3.040870	144.691467	0.000000
3.093299	148.220062	0.000000
3.145728	147.190094	0.000000
3.198157	154.151917	0.000000
3.250586	154.628754	0.000000
3.303014	135.288239	0.000000
3.355443	153.713226	0.000000
3.407872	129.623413	0.000000
3.460301	150.241852	0.000000
3.512730	128.269196	0.000000
3.565158	162.582397	0.000000
3.617587	145.034790	0.000000
3.670016	135.879517	0.000000
3.722445	131.015778	0.000000
3.774874	146.236420	0.000000
3.827302	147.571564	0.000000
3.879731	136.775970	0.000000
3.932160	165.309906	0.000000
3.984589	196.590424	0.000000
4.037018	133.361816	0.000000
4.089446	139.617920	0.000000
4.141875	158.901215	0.000000
4.194304	142.040253	0.000000
4.246733	120.067596	0.000000
4.299162	144.081116	0.000000
4.351590	125.484467	0.000000
4.404019	164.909363	0.000000
4.456448	121.784210	0.000000
4.508877	140.323639	0.000000
4.561306	129.890442	0.000000
4.613734	169.029236	0.000000
4.666163	188.331604	0.000000
4.718592	165.081024	0.000000
4.771021	158.596039	0.000000
4.823450	152.034760	0.000000
4.875878	163.059235	0.000000
4.928307	129.222870	0.000000
4.980736	164.813995	0.000000
5.033165	141.849518	0.000000
5.085594	149.383545	0.000000
5.138022	132.274628	0.000000
5.190451	147.991180	0.000000
5.242880	149.345398	0.000000
5.295309	135.707855	0.000000
5.347738	139.369965	0.000000
5.400166	189.609528	0.000000
5.452595	145.797729	0.000000
5.505024	152.664185	0.000000
5.557453	172.977448	0.000000
5.609882	150.680542	0.000000
5.662310	137.939453	0.000000
5.714739	160.923004	0.000000
5.767168	161.762238	0.000000
5.819597	133.609772	0.000000
5.872026	147.666931	0.000000
5.924454	157.451630	0.000000
5.976883	121.707916	0.000000
6.029312	147.590637	0.000000
6.081741	126.132965	0.000000
6.134170	124.359131	0.000000
6.186598	172.920227	0.000000
6.239027	160.865784	0.000000
6.291456	156.593323	0.000000
6.343885	139.789581	0.000000
6.396314	201.625824	0.000000
6.448742	156.307220	0.000000
6.501171	212.726593	0.000000
6.553600	134.792328	0.000000
6.606029	130.558014	0.000000
6.658458	137.996674	0.000000
6.710886	194.854736	0.000000
6.763315	152.225494	0.000000
6.815744	150.947571	0.000000
6.868173	130.748749	0.000000
6.920602	133.304596	0.000000
6.973030	131.397247	0.000000
7.025459	147.132874	0.000000
7.077888	203.666687	0.000000
7.130317	156.269073	0.000000
7.182746	195.770264	0.000000
7.235174	158.157349	0.000000
7.287603	159.378052	0.000000
7.340032	158.309937	0.000000
7.392461	129.394531	0.000000
7.444890	120.906830	0.000000
7.497318	135.078430	0.000000
7.549747	148.792267	0.000000
7.602176	133.647919	0.000000
7.654605	177.860260	0.000000
7.707034	196.380615	0.000000
7.759462	185.527802	0.000000
7.811891	156.173706	0.000000
7.864320	167.922974	0.000000
7.916749	172.386169	0.000000
7.969178	187.301636	0.000000
8.021606	254.116058	0.000000
8.074035	286.445618	0.000000
8.126464	155.391693	0.000000
8.178893	166.492462	0.000000
8.231322	156.955719	0.000000
8.283750	176.239014	0.000000
8.336179	206.336975	0.000000
8.388608	139.503479	0.000000
8.441037	151.615143	0.000000
8.493466	183.734894	0.000000
8.545894	200.843811	0.000000
8.598323	128.517151	0.000000
8.650752	165.328979	0.000000
8.703181	159.034729	0.000000
8.755610	127.143860	0.000000
8.808038	162.677765	0.000000
8.860467	148.143768	0.000000
8.912896	132.160187	0.000000
8.965325	122.337341	0.000000
9.017754	140.590668	0.000000
9.070182	146.007538	0.000000
9.122611	138.111115	0.000000
9.175040	166.587830	0.000000
9.227469	156.135559	0.000000
9.279898	133.495331	0.000000
9.332326	132.198334	0.000000
9.384755	287.265778	0.000000
9.437184	200.691223	0.000000
9.489613	164.718628	0.000000
9.542042	151.252747	0.000000
9.594470	160.999298	0.000000
9.646899	140.953064	0.000000
9.699328	180.778503	0.000000
9.751757	183.639526	0.000000
9.804186	175.666809	0.000000
9.856614	157.241821	0.000000
9.909043	212.478638	0.000000
9.961472	253.334045	0.000000
10.013901	293.865204	0.000000
10.066330	205.726624	0.000000
