07/06/22	9:32 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	206.628000
Average Count rate  A (kHz):	155.9
Average Count rate  B (kHz):	155.9
Intercept:	0.9284
Cumulant 1st	15353.10
Cumulant 2nd	15586.52	0.04
Cumulant 3rd	16822.98	0.22

Lag time (s)         g2-1
Count Rate History (KHz)  CR CHA / CR CHB
0.000000	165.958405	0.000000
0.052429	162.525177	0.000000
0.104858	154.876709	0.000000
0.157286	167.560577	0.000000
0.209715	159.397125	0.000000
0.262144	148.506165	0.000000
0.314573	149.898529	0.000000
0.367002	151.920319	0.000000
0.419430	150.394440	0.000000
0.471859	159.606934	0.000000
0.524288	158.996582	0.000000
0.576717	163.002014	0.000000
0.629146	149.173737	0.000000
0.681574	155.277252	0.000000
0.734003	162.162781	0.000000
0.786432	150.508881	0.000000
0.838861	154.991150	0.000000
0.891290	156.536102	0.000000
0.943718	152.511597	0.000000
0.996147	153.732300	0.000000
1.048576	153.255463	0.000000
1.101005	164.985657	0.000000
1.153434	152.187347	0.000000
1.205862	155.239105	0.000000
1.258291	151.195526	0.000000
1.310720	158.824921	0.000000
1.363149	159.149170	0.000000
1.415578	153.465271	0.000000
1.468006	159.645081	0.000000
1.520435	160.942078	0.000000
1.572864	154.418945	0.000000
1.625293	157.566071	0.000000
1.677722	157.070160	0.000000
1.730150	145.664215	0.000000
1.782579	163.459778	0.000000
1.835008	159.549713	0.000000
1.887437	162.181854	0.000000
1.939866	151.367187	0.000000
1.992294	178.947449	0.000000
2.044723	159.072876	0.000000
2.097152	165.233612	0.000000
2.149581	159.378052	0.000000
2.202010	167.083740	0.000000
2.254438	153.846741	0.000000
2.306867	151.882172	0.000000
2.359296	152.606964	0.000000
2.411725	150.775909	0.000000
2.464154	165.424347	0.000000
2.516582	151.367187	0.000000
2.569011	157.756805	0.000000
2.621440	151.748657	0.000000
2.673869	151.824951	0.000000
2.726298	164.070129	0.000000
2.778726	145.549774	0.000000
2.831155	155.506134	0.000000
2.883584	148.239136	0.000000
2.936013	156.784058	0.000000
2.988442	158.443451	0.000000
3.040870	151.596069	0.000000
3.093299	159.072876	0.000000
3.145728	163.154602	0.000000
3.198157	156.421661	0.000000
3.250586	155.239105	0.000000
3.303014	166.397095	0.000000
3.355443	153.007507	0.000000
3.407872	153.427124	0.000000
3.460301	155.029297	0.000000
3.512730	157.566071	0.000000
3.565158	155.467987	0.000000
3.617587	169.200897	0.000000
3.670016	151.767731	0.000000
3.722445	153.026581	0.000000
3.774874	157.451630	0.000000
3.827302	167.388916	0.000000
3.879731	153.999329	0.000000
3.932160	159.683228	0.000000
3.984589	166.110992	0.000000
4.037018	171.432495	0.000000
4.089446	163.555145	0.000000
4.141875	153.751373	0.000000
4.194304	145.969391	0.000000
4.246733	155.353546	0.000000
4.299162	155.143738	0.000000
4.351590	147.972107	0.000000
4.404019	162.506104	0.000000
4.456448	147.495270	0.000000
4.508877	158.023834	0.000000
4.561306	154.361725	0.000000
4.613734	161.323547	0.000000
4.666163	160.770416	0.000000
4.718592	152.149200	0.000000
4.771021	157.165527	0.000000
4.823450	143.375397	0.000000
4.875878	151.672363	0.000000
4.928307	162.582397	0.000000
4.980736	170.707703	0.000000
5.033165	155.544281	0.000000
5.085594	160.942078	0.000000
5.138022	150.680542	0.000000
5.190451	154.132843	0.000000
5.242880	154.895782	0.000000
5.295309	168.514252	0.000000
5.347738	155.410767	0.000000
5.400166	151.290894	0.000000
5.452595	154.533386	0.000000
5.505024	164.871216	0.000000
5.557453	161.094666	0.000000
5.609882	166.816711	0.000000
5.662310	159.626007	0.000000
5.714739	152.873993	0.000000
5.767168	155.258179	0.000000
5.819597	142.898560	0.000000
5.872026	161.094666	0.000000
5.924454	156.326294	0.000000
5.976883	155.162811	0.000000
6.029312	164.260864	0.000000
6.081741	155.143738	0.000000
6.134170	155.677795	0.000000
6.186598	158.939362	0.000000
6.239027	150.241852	0.000000
6.291456	166.320801	0.000000
6.343885	160.293579	0.000000
6.396314	153.331757	0.000000
6.448742	154.190063	0.000000
6.501171	146.560669	0.000000
6.553600	153.179169	0.000000
6.606029	168.952942	0.000000
6.658458	157.852173	0.000000
6.710886	164.871216	0.000000
6.763315	157.184601	0.000000
6.815744	180.644989	0.000000
6.868173	153.560638	0.000000
6.920602	164.260864	0.000000
6.973030	157.718658	0.000000
7.025459	142.631531	0.000000
7.077888	157.928467	0.000000
7.130317	162.220001	0.000000
7.182746	166.988373	0.000000
7.235174	154.800415	0.000000
7.287603	150.432587	0.000000
7.340032	153.732300	0.000000
7.392461	152.683258	0.000000
7.444890	156.784058	0.000000
7.497318	151.748657	0.000000
7.549747	158.500671	0.000000
7.602176	151.405334	0.000000
7.654605	161.666870	0.000000
7.707034	151.958466	0.000000
7.759462	156.764984	0.000000
7.811891	150.070190	0.000000
7.864320	164.985657	0.000000
7.916749	147.190094	0.000000
7.969178	152.549744	0.000000
8.021606	150.718689	0.000000
8.074035	164.203644	0.000000
8.126464	161.437988	0.000000
8.178893	152.873993	0.000000
8.231322	154.609680	0.000000
8.283750	154.914856	0.000000
8.336179	150.852203	0.000000
8.388608	153.961182	0.000000
8.441037	158.443451	0.000000
8.493466	156.726837	0.000000
8.545894	157.585144	0.000000
8.598323	163.936615	0.000000
8.650752	159.225464	0.000000
8.703181	168.170929	0.000000
8.755610	160.808563	0.000000
8.808038	162.143707	0.000000
8.860467	145.473480	0.000000
8.912896	161.418915	0.000000
8.965325	153.827667	0.000000
9.017754	156.784058	0.000000
9.070182	161.628723	0.000000
9.122611	156.669617	0.000000
9.175040	161.342621	0.000000
9.227469	150.356293	0.000000
9.279898	155.773163	0.000000
9.332326	159.606934	0.000000
9.384755	152.568817	0.000000
9.437184	154.285431	0.000000
9.489613	161.857605	0.000000
9.542042	155.963898	0.000000
9.594470	161.800385	0.000000
9.646899	157.947540	0.000000
9.699328	150.928497	0.000000
9.751757	150.279999	0.000000
9.804186	153.160095	0.000000
9.856614	156.841278	0.000000
9.909043	152.854919	0.000000
9.961472	143.718719	0.000000
10.013901	165.863037	0.000000
10.066330	151.100159	0.000000
10.118758	151.290894	0.000000
10.171187	157.413483	0.000000
10.223616	157.527924	0.000000
10.276045	158.119202	0.000000
10.328474	152.854919	0.000000
10.380902	152.893066	0.000000
10.433331	163.364410	0.000000
10.485760	161.132812	0.000000
10.538189	168.190002	0.000000
10.590618	148.868561	0.000000
10.643046	153.083801	0.000000
10.695475	153.179169	0.000000
10.747904	155.849457	0.000000
10.800333	157.413483	0.000000
10.852762	156.002045	0.000000
10.905190	156.345367	0.000000
10.957619	167.007446	0.000000
11.010048	147.285461	0.000000
11.062477	169.410706	0.000000
11.114906	152.873993	0.000000
11.167334	163.688660	0.000000
11.219763	144.996643	0.000000
11.272192	159.225464	0.000000
11.324621	157.775879	0.000000
11.377050	161.876678	0.000000
11.429478	164.623260	0.000000
11.481907	156.154633	0.000000
11.534336	155.715942	0.000000
11.586765	148.754120	0.000000
11.639194	166.435242	0.000000
11.691622	147.323608	0.000000
11.744051	160.217285	0.000000
11.796480	153.160095	0.000000
11.848909	152.378082	0.000000
11.901338	167.369843	0.000000
11.953766	156.345367	0.000000
12.006195	148.239136	0.000000
12.058624	153.827667	0.000000
12.111053	148.067474	0.000000
12.163482	149.822235	0.000000
12.215910	160.675049	0.000000
12.268339	159.587860	0.000000
12.320768	148.334503	0.000000
12.373197	150.547028	0.000000
12.425626	158.672333	0.000000
12.478054	150.833130	0.000000
12.530483	144.557953	0.000000
12.582912	163.288116	0.000000
12.635341	159.931183	0.000000
12.687770	150.756836	0.000000
12.740198	157.012939	0.000000
12.792627	155.963898	0.000000
12.845056	150.508881	0.000000
12.897485	156.116486	0.000000
12.949914	155.410767	0.000000
13.002342	147.991180	0.000000
13.054771	150.814056	0.000000
13.107200	159.873962	0.000000
