07/23/22	9:45 PM
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	1200
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	97.836043
Average Count rate  A (kHz):	172.4
Average Count rate  B (kHz):	169.5
Intercept:	0.9979
Cumulant 1st	53.76
Cumulant 2nd	53.77	0.00
Cumulant 3rd	113.76	1870.35

Lag time (s)         g2-1
1.250000E-8	0.998017
2.500000E-8	0.998583
3.750000E-8	0.996423
5.000000E-8	0.997848
6.250000E-8	0.995755
7.500000E-8	0.998533
8.750000E-8	0.994714
1.000000E-7	0.997779
1.125000E-7	0.998168
1.250000E-7	0.993809
1.375000E-7	1.003102
1.500000E-7	0.997153
1.625000E-7	0.994581
1.750000E-7	1.002161
1.875000E-7	0.994198
2.000000E-7	0.995120
2.125000E-7	0.996267
2.375000E-7	0.999182
2.625000E-7	0.997062
2.875000E-7	0.995527
3.125000E-7	0.996221
3.375000E-7	0.996009
3.625000E-7	0.998255
3.875000E-7	0.995941
4.125000E-7	0.997270
4.625000E-7	0.994178
5.125000E-7	0.994656
5.625000E-7	0.991219
6.125000E-7	0.992306
6.625000E-7	0.994310
7.125000E-7	0.993097
7.625000E-7	0.994676
8.125000E-7	0.991857
9.125000E-7	0.990763
1.012500E-6	0.991920
1.112500E-6	0.991010
1.212500E-6	0.989482
1.312500E-6	0.988001
1.412500E-6	0.987472
1.512500E-6	0.987838
1.612500E-6	0.985519
1.812500E-6	0.984059
2.012500E-6	0.983649
2.212500E-6	0.981680
2.412500E-6	0.980003
2.612500E-6	0.977747
2.812500E-6	0.977049
3.012500E-6	0.974909
3.212500E-6	0.974771
3.612500E-6	0.971089
4.012500E-6	0.968734
4.412500E-6	0.966218
4.812500E-6	0.962846
5.212500E-6	0.960149
5.612500E-6	0.958243
6.012500E-6	0.955533
6.412500E-6	0.953071
7.212500E-6	0.947854
8.012500E-6	0.942876
8.812500E-6	0.938379
9.612500E-6	0.933198
1.041250E-5	0.927452
1.121250E-5	0.922535
1.201250E-5	0.918475
1.281250E-5	0.913712
1.441250E-5	0.903824
1.601250E-5	0.894435
1.761250E-5	0.885008
1.921250E-5	0.876652
2.081250E-5	0.868246
2.241250E-5	0.859921
2.401250E-5	0.851200
2.561250E-5	0.843270
2.881250E-5	0.827120
3.201250E-5	0.812128
3.521250E-5	0.796822
3.841250E-5	0.782701
4.161250E-5	0.768747
4.481250E-5	0.755329
4.801250E-5	0.742391
5.121250E-5	0.730018
5.761250E-5	0.706383
6.401250E-5	0.684219
7.041250E-5	0.663216
7.681250E-5	0.643748
8.321250E-5	0.625008
8.961250E-5	0.607347
9.601250E-5	0.590862
0.000102	0.575814
0.000115	0.547183
0.000128	0.521304
0.000141	0.498052
0.000154	0.476757
0.000166	0.457514
0.000179	0.439661
0.000192	0.423361
0.000205	0.408623
0.000230	0.381930
0.000256	0.359069
0.000282	0.338951
0.000307	0.321247
0.000333	0.305491
0.000358	0.291438
0.000384	0.279113
0.000410	0.267929
0.000461	0.247829
0.000512	0.230890
0.000563	0.216368
0.000614	0.203883
0.000666	0.193181
0.000717	0.183787
0.000768	0.175475
0.000819	0.168203
0.000922	0.155813
0.001024	0.145500
0.001126	0.136853
0.001229	0.129617
0.001331	0.123271
0.001434	0.117972
0.001536	0.113193
0.001638	0.109404
0.001843	0.102460
0.002048	0.096711
0.002253	0.091410
0.002458	0.087316
0.002662	0.084121
0.002867	0.081282
0.003072	0.078402
0.003277	0.075903
0.003686	0.071109
0.004096	0.067790
0.004506	0.063793
0.004915	0.060521
0.005325	0.057949
0.005734	0.055591
