06/28/22	11:40 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	254.849422
Average Count rate  A (kHz):	127.9
Average Count rate  B (kHz):	127.9
Intercept:	0.9123
Cumulant 1st	16096.45
Cumulant 2nd	17075.09	0.27
Cumulant 3rd	17573.76	0.57

Lag time (s)         g2-1
5.000000E-8	1.480651
6.250000E-8	1.228999
7.500000E-8	1.123391
8.750000E-8	1.069647
1.000000E-7	1.044487
1.125000E-7	1.018348
1.250000E-7	1.000736
1.375000E-7	0.984195
1.500000E-7	0.976815
1.625000E-7	0.968810
1.750000E-7	0.961208
1.875000E-7	0.948731
2.000000E-7	0.951578
2.125000E-7	0.944172
2.375000E-7	0.935540
2.625000E-7	0.935651
2.875000E-7	0.928263
3.125000E-7	0.923870
3.375000E-7	0.921981
3.625000E-7	0.918044
3.875000E-7	0.918188
4.125000E-7	0.917073
4.625000E-7	0.909540
5.125000E-7	0.906556
5.625000E-7	0.901009
6.125000E-7	0.902852
6.625000E-7	0.896470
7.125000E-7	0.896879
7.625000E-7	0.892749
8.125000E-7	0.891396
9.125000E-7	0.887018
1.012500E-6	0.883266
1.112500E-6	0.876923
1.212500E-6	0.874065
1.312500E-6	0.870488
1.412500E-6	0.869446
1.512500E-6	0.866069
1.612500E-6	0.863358
1.812500E-6	0.854868
2.012500E-6	0.849272
2.212500E-6	0.844525
2.412500E-6	0.836368
2.612500E-6	0.831957
2.812500E-6	0.826304
3.012500E-6	0.821227
3.212500E-6	0.814427
3.612500E-6	0.804448
4.012500E-6	0.794547
4.412500E-6	0.782667
4.812500E-6	0.772629
5.212500E-6	0.762415
5.612500E-6	0.752607
6.012500E-6	0.742423
6.412500E-6	0.733387
7.212500E-6	0.714411
8.012500E-6	0.695726
8.812500E-6	0.677922
9.612500E-6	0.660612
1.041250E-5	0.644299
1.121250E-5	0.627565
1.201250E-5	0.611764
1.281250E-5	0.596246
1.441250E-5	0.566401
1.601250E-5	0.538816
1.761250E-5	0.512431
1.921250E-5	0.487451
2.081250E-5	0.464029
2.241250E-5	0.441462
2.401250E-5	0.420310
2.561250E-5	0.400473
2.881250E-5	0.363443
3.201250E-5	0.329986
3.521250E-5	0.300090
3.841250E-5	0.273589
4.161250E-5	0.249461
4.481250E-5	0.228086
4.801250E-5	0.208226
5.121250E-5	0.191294
5.761250E-5	0.161383
6.401250E-5	0.136434
7.041250E-5	0.116453
7.681250E-5	0.100218
8.321250E-5	0.086619
8.961250E-5	0.075223
9.601250E-5	0.066150
0.000102	0.058595
0.000115	0.046438
0.000128	0.038109
0.000141	0.032137
0.000154	0.027597
0.000166	0.024459
0.000179	0.021654
0.000192	0.019772
0.000205	0.018470
0.000230	0.016501
0.000256	0.014891
0.000282	0.013939
0.000307	0.013297
0.000333	0.012757
0.000358	0.012521
0.000384	0.012240
0.000410	0.011777
0.000461	0.011404
0.000512	0.011343
0.000563	0.010927
0.000614	0.010510
0.000666	0.010322
0.000717	0.009646
0.000768	0.009140
0.000819	0.008964
0.000922	0.008668
0.001024	0.007942
0.001126	0.007429
0.001229	0.007004
0.001331	0.006585
0.001434	0.006358
0.001536	0.005928
0.001638	0.005671
0.001843	0.005630
0.002048	0.005055
0.002253	0.004687
0.002458	0.004278
0.002662	0.004079
0.002867	0.004163
0.003072	0.003795
0.003277	0.003489
0.003686	0.003249
0.004096	0.002954
0.004506	0.002979
0.004915	0.002656
0.005325	0.002591
0.005734	0.002346
0.006144	0.002457
0.006554	0.002447
0.007373	0.002175
0.008192	0.002167
0.009011	0.002122
0.009830	0.001973
0.010650	0.001813
0.011469	0.001594
0.012288	0.001717
0.013107	0.001740
0.014746	0.001613
0.016384	0.001495
0.018022	0.001584
0.019661	0.001349
0.021299	0.001341
0.022938	0.001315
0.024576	0.001294
0.026214	0.001178
0.029491	0.001041
0.032768	0.001083
0.036045	0.000943
0.039322	0.001002
0.042598	0.000976
0.045875	0.000867
0.049152	0.001005
0.052429	0.000871
0.058982	0.000804
0.065536	0.000719
0.072090	0.000708
0.078643	0.000736
0.085197	0.000644
0.091750	0.000611
0.098304	0.000565
0.104858	0.000556
0.117965	0.000515
0.131072	0.000474
0.144179	0.000416
0.157286	0.000460
0.170394	0.000456
0.183501	0.000403
0.196608	0.000400
0.209715	0.000394
0.235930	0.000412
0.262144	0.000391
0.288358	0.000388
0.314573	0.000381
0.340787	0.000406
0.367002	0.000349
0.393216	0.000344
0.419430	0.000316
0.471859	0.000297
0.524288	0.000290
0.576717	0.000304
0.629146	0.000291
0.681574	0.000322
0.734003	0.000352
0.786432	0.000307
0.838861	0.000344
0.943718	0.000355
1.048576	0.000344
1.153434	0.000331
1.258291	0.000304
1.363149	0.000272
1.468006	0.000317
1.572864	0.000296
1.677722	0.000301
1.887437	0.000333
2.097152	0.000306
2.306867	0.000302
2.516582	0.000302
2.726298	0.000285
2.936013	0.000305
3.145728	0.000345
3.355443	0.000383
3.774873	0.000393
4.194304	0.000386
4.613734	0.000406
5.033165	0.000428
5.452595	0.000456
5.872025	0.000464
6.291456	0.000460
6.710886	0.000516
7.549747	0.000570
8.388608	0.000601
9.227468	0.000640
