06/28/22	8:24 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	600
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	44.870652
Average Count rate  A (kHz):	203.4
Average Count rate  B (kHz):	203.4
Intercept:	1.0012
Cumulant 1st	12940.82
Cumulant 2nd	14567.39	0.42
Cumulant 3rd	15249.78	0.76

Lag time (s)         g2-1
5.000000E-8	1.314597
6.250000E-8	1.170175
7.500000E-8	1.109272
8.750000E-8	1.077031
1.000000E-7	1.058910
1.125000E-7	1.046753
1.250000E-7	1.027605
1.375000E-7	1.027753
1.500000E-7	1.020289
1.625000E-7	1.008889
1.750000E-7	1.005813
1.875000E-7	1.003752
2.000000E-7	0.999370
2.125000E-7	0.998606
2.375000E-7	0.992109
2.625000E-7	0.992174
2.875000E-7	0.990114
3.125000E-7	0.987081
3.375000E-7	0.983241
3.625000E-7	0.980785
3.875000E-7	0.980109
4.125000E-7	0.977887
4.625000E-7	0.974056
5.125000E-7	0.971639
5.625000E-7	0.967785
6.125000E-7	0.968647
6.625000E-7	0.964582
7.125000E-7	0.964184
7.625000E-7	0.959933
8.125000E-7	0.960081
9.125000E-7	0.955939
1.012500E-6	0.951644
1.112500E-6	0.951082
1.212500E-6	0.947569
1.312500E-6	0.943279
1.412500E-6	0.941159
1.512500E-6	0.938360
1.612500E-6	0.934572
1.812500E-6	0.930702
2.012500E-6	0.924217
2.212500E-6	0.919590
2.412500E-6	0.914826
2.612500E-6	0.908463
2.812500E-6	0.905621
3.012500E-6	0.899857
3.212500E-6	0.894545
3.612500E-6	0.884871
4.012500E-6	0.874871
4.412500E-6	0.865405
4.812500E-6	0.856064
5.212500E-6	0.846995
5.612500E-6	0.837515
6.012500E-6	0.828183
6.412500E-6	0.819688
7.212500E-6	0.802687
8.012500E-6	0.785892
8.812500E-6	0.769186
9.612500E-6	0.752549
1.041250E-5	0.737284
1.121250E-5	0.721532
1.201250E-5	0.706693
1.281250E-5	0.692475
1.441250E-5	0.664180
1.601250E-5	0.637621
1.761250E-5	0.611739
1.921250E-5	0.587092
2.081250E-5	0.564069
2.241250E-5	0.542086
2.401250E-5	0.521030
2.561250E-5	0.501085
2.881250E-5	0.463687
3.201250E-5	0.429468
3.521250E-5	0.398663
3.841250E-5	0.370521
4.161250E-5	0.344440
4.481250E-5	0.320968
4.801250E-5	0.299420
5.121250E-5	0.280106
5.761250E-5	0.245625
6.401250E-5	0.216487
7.041250E-5	0.191979
7.681250E-5	0.171318
8.321250E-5	0.153617
8.961250E-5	0.138275
9.601250E-5	0.125602
0.000102	0.114986
0.000115	0.097220
0.000128	0.083889
0.000141	0.073723
0.000154	0.065653
0.000166	0.059497
0.000179	0.054598
0.000192	0.051029
0.000205	0.048186
0.000230	0.043803
0.000256	0.040692
0.000282	0.038555
0.000307	0.036818
0.000333	0.035685
0.000358	0.034375
0.000384	0.033327
0.000410	0.032415
0.000461	0.031267
0.000512	0.030172
0.000563	0.029220
0.000614	0.028527
0.000666	0.027485
0.000717	0.026813
0.000768	0.026262
0.000819	0.025730
0.000922	0.024513
0.001024	0.022880
0.001126	0.022016
0.001229	0.020719
0.001331	0.019560
0.001434	0.018536
0.001536	0.017820
0.001638	0.017103
0.001843	0.015180
0.002048	0.014076
0.002253	0.012745
0.002458	0.011837
0.002662	0.010630
0.002867	0.009961
0.003072	0.009160
0.003277	0.008431
0.003686	0.007618
0.004096	0.006811
0.004506	0.005958
0.004915	0.005427
0.005325	0.004849
0.005734	0.004372
0.006144	0.004106
0.006554	0.003963
0.007373	0.003615
0.008192	0.003278
0.009011	0.003140
0.009830	0.003097
0.010650	0.003045
0.011469	0.003019
0.012288	0.002584
0.013107	0.002697
0.014746	0.002680
0.016384	0.002459
0.018022	0.002487
0.019661	0.002551
0.021299	0.002497
0.022938	0.002511
0.024576	0.002280
0.026214	0.002103
0.029491	0.001876
0.032768	0.001924
0.036045	0.001973
0.039322	0.001848
0.042598	0.001708
0.045875	0.001674
0.049152	0.001836
0.052429	0.001789
0.058982	0.001645
0.065536	0.001588
0.072090	0.001392
0.078643	0.001494
0.085197	0.001377
0.091750	0.001362
0.098304	0.001465
0.104858	0.001400
0.117965	0.001307
0.131072	0.001292
0.144179	0.001262
0.157286	0.001157
0.170394	0.001263
0.183501	0.001122
0.196608	0.001183
0.209715	0.001175
0.235930	0.001057
0.262144	0.001125
0.288358	0.001007
0.314573	0.000977
0.340787	0.000945
0.367002	0.001057
0.393216	0.001027
0.419430	0.001035
0.471859	0.001099
0.524288	0.001006
0.576717	0.000953
0.629146	0.000967
0.681574	0.000993
0.734003	0.001001
0.786432	0.001025
0.838861	0.001057
0.943718	0.001009
1.048576	0.001075
1.153434	0.001095
1.258291	0.001065
1.363149	0.001067
1.468006	0.001069
1.572864	0.001088
1.677722	0.001124
1.887437	0.001208
2.097152	0.001238
2.306867	0.001251
2.516582	0.001330
2.726298	0.001280
2.936013	0.001265
3.145728	0.001199
3.355443	0.001271
3.774873	0.001350
4.194304	0.001394
4.613734	0.001429
5.033165	0.001359
5.452595	0.001338
5.872025	0.001407
6.291456	0.001454
6.710886	0.001425
7.549747	0.001314
8.388608	0.001274
9.227468	0.001122
