06/29/22	12:30 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	58.586400
Average Count rate  A (kHz):	193.1
Average Count rate  B (kHz):	193.1
Intercept:	0.9959
Cumulant 1st	6890.85
Cumulant 2nd	7908.79	0.59
Cumulant 3rd	8246.94	0.99

Lag time (s)         g2-1
697.932190	-0.045601
751.619263	-0.034643
805.306396	-0.027222

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	220.527649	0.000000
0.052429	189.914703	0.000000
0.104858	189.990997	0.000000
0.157286	172.634125	0.000000
0.209715	190.277100	0.000000
0.262144	193.500519	0.000000
0.314573	204.925537	0.000000
0.367002	190.982819	0.000000
0.419430	188.159943	0.000000
0.471859	184.955597	0.000000
0.524288	183.715820	0.000000
0.576717	182.418823	0.000000
0.629146	215.530396	0.000000
0.681574	203.533173	0.000000
0.734003	225.124359	0.000000
0.786432	198.688507	0.000000
0.838861	187.416077	0.000000
0.891290	204.696655	0.000000
0.943718	187.282562	0.000000
0.996147	197.143555	0.000000
1.048576	177.860260	0.000000
1.101005	193.557739	0.000000
1.153434	186.920166	0.000000
1.205862	191.364288	0.000000
1.258291	215.148926	0.000000
1.310720	190.963745	0.000000
1.363149	185.260773	0.000000
1.415578	184.669495	0.000000
1.468006	187.091827	0.000000
1.520435	192.737579	0.000000
1.572864	184.555054	0.000000
1.625293	186.901093	0.000000
1.677722	176.944733	0.000000
1.730150	174.942017	0.000000
1.782579	190.868378	0.000000
1.835008	184.154510	0.000000
1.887437	196.132660	0.000000
1.939866	173.912048	0.000000
1.992294	177.841187	0.000000
2.044723	192.317963	0.000000
2.097152	193.939209	0.000000
2.149581	214.443207	0.000000
2.202010	185.165405	0.000000
2.254438	188.674927	0.000000
2.306867	191.497803	0.000000
2.359296	204.734802	0.000000
2.411725	186.290741	0.000000
2.464154	208.206177	0.000000
2.516582	211.524963	0.000000
