06/29/22	12:49 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	254.679578
Average Count rate  A (kHz):	121.6
Average Count rate  B (kHz):	121.6
Intercept:	0.9252
Cumulant 1st	16751.41
Cumulant 2nd	18189.97	0.39
Cumulant 3rd	19511.32	1.09

Lag time (s)         g2-1
Count Rate History (KHz)  CR CHA / CR CHB
0.000000	83.293915	0.000000
0.052429	92.353821	0.000000
0.104858	94.642639	0.000000
0.157286	92.048645	0.000000
0.209715	86.250305	0.000000
0.262144	93.955994	0.000000
0.314573	89.397430	0.000000
0.367002	91.037750	0.000000
0.419430	89.092255	0.000000
0.471859	90.370178	0.000000
0.524288	88.291168	0.000000
0.576717	88.634491	0.000000
0.629146	85.525513	0.000000
0.681574	91.991425	0.000000
0.734003	87.490082	0.000000
0.786432	88.043213	0.000000
0.838861	93.479156	0.000000
0.891290	90.923309	0.000000
0.943718	92.487335	0.000000
0.996147	90.465546	0.000000
1.048576	100.727081	0.000000
1.101005	85.430145	0.000000
1.153434	94.470978	0.000000
1.205862	96.969604	0.000000
1.258291	85.220337	0.000000
1.310720	89.454651	0.000000
1.363149	88.825226	0.000000
1.415578	92.124939	0.000000
1.468006	92.372894	0.000000
1.520435	86.307526	0.000000
1.572864	90.541840	0.000000
1.625293	87.165833	0.000000
1.677722	85.964203	0.000000
1.730150	94.928741	0.000000
1.782579	88.577271	0.000000
1.835008	85.830688	0.000000
1.887437	92.105865	0.000000
1.939866	96.073151	0.000000
1.992294	90.179443	0.000000
2.044723	94.013214	0.000000
2.097152	92.735291	0.000000
2.149581	90.541840	0.000000
2.202010	87.928772	0.000000
2.254438	91.686249	0.000000
2.306867	87.394714	0.000000
2.359296	95.558167	0.000000
2.411725	88.958740	0.000000
2.464154	97.122192	0.000000
2.516582	93.803406	0.000000
2.569011	87.871552	0.000000
2.621440	91.323853	0.000000
2.673869	91.514587	0.000000
2.726298	90.427399	0.000000
2.778726	88.024139	0.000000
2.831155	92.773437	0.000000
2.883584	88.176727	0.000000
2.936013	81.729889	0.000000
2.988442	84.018707	0.000000
3.040870	88.653564	0.000000
3.093299	92.487335	0.000000
3.145728	93.593597	0.000000
