06/28/22	11:21 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	23.311800
Average Count rate  A (kHz):	226.5
Average Count rate  B (kHz):	226.5
Intercept:	0.9743
Cumulant 1st	5736.32
Cumulant 2nd	6104.14	0.31
Cumulant 3rd	6200.17	0.49

Lag time (s)         g2-1
5.000000E-8	1.273708
6.250000E-8	1.143818
7.500000E-8	1.089091
8.750000E-8	1.061479
1.000000E-7	1.047836
1.125000E-7	1.035070
1.250000E-7	1.025302
1.375000E-7	1.017878
1.500000E-7	1.010430
1.625000E-7	1.010299
1.750000E-7	1.004845
1.875000E-7	1.002808
2.000000E-7	0.998433
2.125000E-7	0.992579
2.375000E-7	0.992517
2.625000E-7	0.990899
2.875000E-7	0.986920
3.125000E-7	0.986421
3.375000E-7	0.984005
3.625000E-7	0.981083
3.875000E-7	0.982575
4.125000E-7	0.981317
4.625000E-7	0.977322
5.125000E-7	0.976141
5.625000E-7	0.974358
6.125000E-7	0.972659
6.625000E-7	0.971277
7.125000E-7	0.970957
7.625000E-7	0.969042
8.125000E-7	0.967448
9.125000E-7	0.965089
1.012500E-6	0.963703
1.112500E-6	0.962170
1.212500E-6	0.960984
1.312500E-6	0.959681
1.412500E-6	0.956841
1.512500E-6	0.954946
1.612500E-6	0.954460
1.812500E-6	0.952258
2.012500E-6	0.949450
2.212500E-6	0.946789
2.412500E-6	0.945178
2.612500E-6	0.942163
2.812500E-6	0.940563
3.012500E-6	0.937235
3.212500E-6	0.934132
3.612500E-6	0.930732
4.012500E-6	0.926024
4.412500E-6	0.921318
4.812500E-6	0.917027
5.212500E-6	0.912445
5.612500E-6	0.907798
6.012500E-6	0.903412
6.412500E-6	0.899453
7.212500E-6	0.890610
8.012500E-6	0.882144
8.812500E-6	0.873899
9.612500E-6	0.865899
1.041250E-5	0.857794
1.121250E-5	0.849388
1.201250E-5	0.841421
1.281250E-5	0.833082
1.441250E-5	0.817753
1.601250E-5	0.802308
1.761250E-5	0.787310
1.921250E-5	0.772507
2.081250E-5	0.758420
2.241250E-5	0.744386
2.401250E-5	0.730566
2.561250E-5	0.717330
2.881250E-5	0.691197
3.201250E-5	0.666529
3.521250E-5	0.642711
3.841250E-5	0.619910
4.161250E-5	0.598140
4.481250E-5	0.576986
4.801250E-5	0.556498
5.121250E-5	0.537430
5.761250E-5	0.501031
6.401250E-5	0.467355
7.041250E-5	0.436326
7.681250E-5	0.407573
8.321250E-5	0.381185
8.961250E-5	0.356574
9.601250E-5	0.333764
0.000102	0.312994
0.000115	0.275242
0.000128	0.242534
0.000141	0.214270
0.000154	0.189843
0.000166	0.168646
0.000179	0.149927
0.000192	0.133703
0.000205	0.120068
0.000230	0.096523
0.000256	0.078094
0.000282	0.063588
0.000307	0.052261
0.000333	0.043377
0.000358	0.036330
0.000384	0.030657
0.000410	0.026209
0.000461	0.019152
0.000512	0.014308
0.000563	0.010989
0.000614	0.008634
0.000666	0.006921
0.000717	0.005549
0.000768	0.004320
0.000819	0.003533
0.000922	0.002360
0.001024	0.002022
0.001126	0.001777
0.001229	0.001528
0.001331	0.001178
0.001434	0.001006
0.001536	0.000631
0.001638	0.000431
0.001843	-3.861979E-5
0.002048	5.893154E-5
0.002253	0.000256
0.002458	0.000216
0.002662	0.000318
0.002867	0.000771
0.003072	0.000488
0.003277	4.227468E-6
0.003686	-0.000622
0.004096	-0.000533
0.004506	-0.000477
0.004915	-0.000317
0.005325	-0.000180
0.005734	4.144379E-5
0.006144	0.000448
0.006554	7.318906E-5
0.007373	0.000183
0.008192	-3.212610E-5
0.009011	9.546609E-5
0.009830	-0.000144
0.010650	-0.000150
0.011469	0.000141
0.012288	0.000236
0.013107	0.000161
0.014746	-0.000160
0.016384	0.000117
0.018022	0.000236
0.019661	0.000120
0.021299	-2.204236E-5
0.022938	-0.000158
0.024576	0.000181
0.026214	-6.623004E-6
0.029491	0.000102
0.032768	-1.768211E-5
0.036045	-0.000126
0.039322	0.000120
0.042598	0.000105
0.045875	-8.013924E-5
0.049152	6.609087E-5
0.052429	9.470263E-5
0.058982	7.454170E-5
0.065536	2.209212E-6
0.072090	-2.832010E-5
0.078643	5.424600E-5
0.085197	0.000158
0.091750	3.697655E-5
0.098304	0.000178
0.104858	1.027982E-5
0.117965	0.000170
0.131072	7.890696E-5
0.144179	4.574940E-5
0.157286	7.568819E-5
0.170394	8.239833E-5
0.183501	0.000186
0.196608	5.204231E-5
0.209715	5.313102E-5
0.235930	6.380074E-5
0.262144	-1.259705E-5
0.288358	4.044282E-5
0.314573	5.587775E-5
0.340787	8.932320E-5
0.367002	3.969433E-5
0.393216	0.000108
0.419430	-1.434659E-6
0.471859	1.699861E-5
0.524288	1.776862E-6
0.576717	4.246807E-5
0.629146	-2.698271E-5
0.681574	-1.762916E-5
0.734003	6.786897E-7
0.786432	1.750155E-5
0.838861	1.064799E-5
0.943718	2.319937E-5
1.048576	-3.032210E-6
1.153434	-7.832099E-6
1.258291	-6.201051E-6
1.363149	-4.422112E-5
1.468006	-2.092862E-5
1.572864	-1.785871E-5
1.677722	-4.410450E-5
1.887437	-6.301130E-5
