06/29/22	12:08 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	23.311800
Average Count rate  A (kHz):	221.4
Average Count rate  B (kHz):	221.4
Intercept:	0.9811
Cumulant 1st	5816.84
Cumulant 2nd	6273.38	0.38
Cumulant 3rd	6550.38	0.88

Lag time (s)         g2-1
322.122559	-0.000708
348.966095	-0.000701
375.809631	-0.000434
402.653198	-0.000355
429.496735	-0.001118
483.183807	-0.000769
536.870911	0.001417
590.557983	0.001615
644.245117	0.000424
697.932190	-0.004169
751.619263	-0.004591
805.306396	-0.000583

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	219.821930	0.000000
0.052429	229.377747	0.000000
0.104858	240.402222	0.000000
0.157286	240.936279	0.000000
0.209715	242.938995	0.000000
0.262144	220.794678	0.000000
0.314573	221.462250	0.000000
0.367002	229.187012	0.000000
0.419430	228.786469	0.000000
0.471859	222.129822	0.000000
0.524288	219.211578	0.000000
0.576717	219.421387	0.000000
0.629146	234.375000	0.000000
0.681574	220.985413	0.000000
0.734003	233.459473	0.000000
0.786432	245.151520	0.000000
0.838861	200.538635	0.000000
0.891290	239.906311	0.000000
0.943718	246.353149	0.000000
0.996147	205.097198	0.000000
1.048576	221.271515	0.000000
1.101005	210.113525	0.000000
1.153434	222.873688	0.000000
1.205862	221.862793	0.000000
1.258291	229.682922	0.000000
1.310720	219.249725	0.000000
1.363149	236.663818	0.000000
1.415578	217.399597	0.000000
1.468006	199.298859	0.000000
1.520435	224.781036	0.000000
1.572864	227.699280	0.000000
1.625293	223.102570	0.000000
1.677722	218.067169	0.000000
1.730150	219.478607	0.000000
1.782579	216.102600	0.000000
1.835008	204.582214	0.000000
1.887437	235.385895	0.000000
1.939866	223.484039	0.000000
1.992294	206.165314	0.000000
2.044723	210.819244	0.000000
2.097152	221.748352	0.000000
2.149581	209.674835	0.000000
