,peak,volume_ml,mass_kDA
0,large,6.001264262022495,592.1474533759584
1,small,6.822843253742534,265.02132908986687
2,mab,8.205918997206492,140.23366439943112
3,lmw1,10.035579857666777,25.88727303760849
4,lmw2a,11.886328489940952,1.9384572156191233
5,lmw2b,12.15194236602947,0.9783857396327895
6,lmw3,13.47680754559461,0.00044659250645806385
