------------------------------------------------------------------------
General information
------------------------------------------------------------------------
Input file: 2M_40mis_28d_cpmg.int
Output file: 2M_40mis_28d_cpmg.out
Selected analyzing methods: ['brd', 'contin', 'nnls', 'discrete']
Exp. x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Exp.  points: 2048
Fitting x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Fitting  points: 2048
Grid points: 400
Grid spaces: log

# Decay data (EXPERIMENTAL)
           time      intensity
   1.534624e-02   2.397578e+00
   1.543488e-02   2.597783e+00
   1.552352e-02   2.436642e+00
   1.561216e-02   2.319449e+00
   1.570080e-02   2.348747e+00
   1.578944e-02   2.363397e+00
   1.587808e-02   2.329215e+00
   1.596672e-02   2.397578e+00
   1.605536e-02   2.319449e+00
   1.614400e-02   2.299917e+00
   1.623264e-02   2.285268e+00
   1.632128e-02   2.221788e+00
   1.640992e-02   2.197373e+00
   1.649856e-02   2.295034e+00
   1.658720e-02   2.109478e+00
   1.667584e-02   2.148542e+00
   1.676448e-02   2.192490e+00
   1.685312e-02   2.124127e+00
   1.694176e-02   2.197373e+00
   1.703040e-02   2.129010e+00
   1.711904e-02   2.080180e+00
   1.720768e-02   2.168075e+00
   1.729632e-02   2.006934e+00
   1.738496e-02   2.065531e+00
   1.747360e-02   2.080180e+00
   1.756224e-02   2.002051e+00
   1.765088e-02   2.080180e+00
   1.773952e-02   1.865325e+00
   1.782816e-02   1.914156e+00
   1.791680e-02   1.904390e+00
   1.800544e-02   1.972753e+00
   1.809408e-02   1.987402e+00
   1.818272e-02   1.894624e+00
   1.827136e-02   1.836027e+00
   1.836000e-02   1.728600e+00
   1.844864e-02   1.826261e+00
   1.853728e-02   1.826261e+00
   1.862592e-02   1.845793e+00
   1.871456e-02   1.840910e+00
   1.880320e-02   1.884858e+00
   1.889184e-02   1.889741e+00
   1.898048e-02   1.777431e+00
   1.906912e-02   1.733483e+00
   1.915776e-02   1.782314e+00
   1.924640e-02   1.753015e+00
   1.933504e-02   1.762781e+00
   1.942368e-02   1.718834e+00
   1.951232e-02   1.591875e+00
   1.960096e-02   1.753015e+00
   1.968960e-02   1.567459e+00
   1.977824e-02   1.728600e+00
   1.986688e-02   1.606524e+00
   1.995552e-02   1.645588e+00
   2.004416e-02   1.621173e+00
   2.013280e-02   1.723717e+00
   2.022144e-02   1.494214e+00
   2.031008e-02   1.557693e+00
   2.039872e-02   1.640705e+00
   2.048736e-02   1.425851e+00
   2.057600e-02   1.586992e+00
   2.066464e-02   1.469798e+00
   2.075328e-02   1.445383e+00
   2.084192e-02   1.464915e+00
   2.093056e-02   1.567459e+00
   2.101920e-02   1.528395e+00
   2.110784e-02   1.523512e+00
   2.119648e-02   1.464915e+00
   2.128512e-02   1.391670e+00
   2.137376e-02   1.479564e+00
   2.146240e-02   1.396553e+00
   2.155104e-02   1.381903e+00
   2.163968e-02   1.464915e+00
   2.172832e-02   1.386786e+00
   2.181696e-02   1.284242e+00
   2.190560e-02   1.381903e+00
   2.199424e-02   1.469798e+00
   2.208288e-02   1.352605e+00
   2.217152e-02   1.460032e+00
   2.226016e-02   1.420968e+00
   2.234880e-02   1.318424e+00
   2.243744e-02   1.430734e+00
   2.252608e-02   1.313541e+00
   2.261472e-02   1.284242e+00
   2.270336e-02   1.201231e+00
   2.279200e-02   1.264710e+00
   2.288064e-02   1.362371e+00
   2.296928e-02   1.254944e+00
   2.305792e-02   1.210997e+00
   2.314656e-02   1.201231e+00
   2.323520e-02   1.367254e+00
   2.332384e-02   1.250061e+00
   2.341248e-02   1.201231e+00
   2.350112e-02   1.240295e+00
   2.358976e-02   1.220763e+00
   2.367840e-02   1.113336e+00
   2.376704e-02   1.294008e+00
   2.385568e-02   1.206114e+00
   2.394432e-02   1.098686e+00
   2.403296e-02   1.171932e+00
   2.412160e-02   1.147517e+00
   2.421024e-02   1.220763e+00
   2.429888e-02   1.323307e+00
   2.438752e-02   1.064505e+00
   2.447616e-02   1.123102e+00
   2.456480e-02   1.152400e+00
   2.465344e-02   1.079154e+00
   2.474208e-02   1.079154e+00
   2.483072e-02   1.084037e+00
   2.491936e-02   1.235412e+00
   2.500800e-02   1.137751e+00
   2.509664e-02   1.088920e+00
   2.518528e-02   1.059622e+00
   2.527392e-02   1.088920e+00
   2.536256e-02   1.127985e+00
   2.545120e-02   1.015675e+00
   2.553984e-02   1.157283e+00
   2.562848e-02   1.103570e+00
   2.571712e-02   1.108453e+00
   2.580576e-02   1.142634e+00
   2.589440e-02   1.015675e+00
   2.598304e-02   1.015675e+00
   2.607168e-02   9.570780e-01
   2.616032e-02   1.137751e+00
   2.624896e-02   1.025441e+00
   2.633760e-02   1.137751e+00
   2.642624e-02   1.030324e+00
   2.651488e-02   9.033644e-01
   2.660352e-02   9.766102e-01
   2.669216e-02   9.326627e-01
   2.678080e-02   8.594170e-01
   2.686944e-02   9.521949e-01
   2.695808e-02   9.766102e-01
   2.704672e-02   1.001025e+00
   2.713536e-02   9.570780e-01
   2.722400e-02   9.277797e-01
   2.731264e-02   9.961424e-01
   2.740128e-02   9.424288e-01
   2.748992e-02   9.619610e-01
   2.757856e-02   9.326627e-01
   2.766720e-02   9.473119e-01
   2.775584e-02   1.123102e+00
   2.784448e-02   9.717271e-01
   2.793312e-02   9.228966e-01
   2.802176e-02   8.887153e-01
   2.811040e-02   8.740661e-01
   2.819904e-02   9.326627e-01
   2.828768e-02   8.350017e-01
   2.837632e-02   7.568729e-01
   2.846496e-02   9.814932e-01
   2.855360e-02   9.180136e-01
   2.864224e-02   7.422237e-01
   2.873088e-02   9.131305e-01
   2.881952e-02   9.375458e-01
   2.890816e-02   7.764051e-01
   2.899680e-02   8.105865e-01
   2.908544e-02   8.398848e-01
   2.917408e-02   8.154695e-01
   2.926272e-02   6.689780e-01
   2.935136e-02   8.789492e-01
   2.944000e-02   7.715220e-01
   2.952864e-02   8.545339e-01
   2.961728e-02   7.959373e-01
   2.970592e-02   8.691831e-01
   2.979456e-02   6.787441e-01
   2.988320e-02   6.933932e-01
   2.997184e-02   7.910543e-01
   3.006048e-02   8.105865e-01
   3.014912e-02   8.057034e-01
   3.023776e-02   7.812881e-01
   3.032640e-02   6.836271e-01
   3.041504e-02   8.252356e-01
   3.050368e-02   7.666390e-01
   3.059232e-02   7.129254e-01
